Country,Latitude,Longitude,Recycling Facility_count,Plastics Supplier_count,Renewable Energy Service_count,Waste Management Service_count,Water Treatment Service_count,Fast Food Restaurant_count,Vegan and Vegetarian Restaurant_count,Steakhouse_count,Used Bookstore_count,Organic Grocery_count,Public Transportation_count
Afghanistan,33.94,67.71,0,0,0,0,0,1,0,0,0,0,0
Aland Islands,60.18,19.92,3,0,0,0,0,8,0,6,1,0,0
Albania,41.15,20.17,0,0,0,0,0,6,0,2,0,0,0
Algeria,28.03,1.66,0,0,0,0,0,0,0,0,0,0,0
American Samoa,-14.27,-170.13,0,0,0,0,0,0,0,0,0,0,0
Andorra,42.55,1.6,2,0,0,1,0,10,4,10,0,0,1
Angola,-11.2,17.87,0,0,0,0,0,0,0,0,0,0,0
Anguilla,18.22,-63.07,0,0,0,0,0,10,4,10,0,0,0
Antigua And Barbuda,17.06,-61.8,0,0,0,0,0,10,10,6,0,0,0
Argentina,-38.42,-63.62,0,0,0,0,0,0,0,0,0,0,0
Armenia,40.07,45.04,0,0,0,0,0,0,0,0,0,0,0
Aruba,12.52,-69.97,5,0,0,0,0,10,10,10,0,0,0
Australia,-25.27,133.78,0,0,0,0,0,0,0,0,0,0,0
Austria,47.52,14.55,3,0,0,5,0,9,0,1,0,0,0
Azerbaijan,40.14,47.58,0,0,0,0,0,3,0,2,0,0,0
Bahrain,25.93,50.64,1,0,0,0,0,10,10,10,1,1,0
Bangladesh,23.68,90.36,1,0,0,0,0,10,4,10,0,1,1
Barbados,13.19,-59.54,3,0,0,0,0,10,10,10,0,0,0
Belarus,53.71,27.95,3,0,0,0,0,10,4,2,0,3,0
Belgium,50.5,4.47,10,0,0,10,0,10,10,10,7,10,8
Belize,17.19,-88.5,0,0,0,0,0,6,1,0,0,0,0
Benin,9.31,2.32,0,0,0,0,0,0,0,0,0,0,0
Bermuda,32.32,-64.76,0,0,0,0,0,10,0,8,0,0,0
Bhutan,27.51,90.43,0,0,0,0,0,0,0,0,0,0,0
Bolivia,-16.29,-63.59,0,0,0,0,0,1,0,0,0,0,0
Bonaire,12.2,-68.26,0,0,0,0,0,5,1,1,0,0,0
Bosnia And Herzegovina,43.92,17.68,0,0,0,0,0,9,0,0,0,0,0
Botswana,-22.33,24.68,0,0,0,0,0,0,0,0,0,0,0
Bouvet Island,-54.42,3.41,0,0,0,0,0,0,0,0,0,0,0
Brazil,-14.24,-51.93,0,0,0,0,0,0,0,0,0,0,0
British Indian Ocean Territory,-6.34,71.88,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,18.42,-64.64,0,0,0,0,0,10,7,10,0,0,0
Brunei,4.54,114.73,1,0,0,0,0,3,2,0,0,0,0
Bulgaria,42.73,25.49,1,0,0,0,0,10,1,8,0,0,0
Burkina Faso,12.24,-1.56,0,0,0,0,0,5,0,0,0,1,0
Burundi,-3.37,29.92,0,0,0,0,0,0,0,0,0,0,0
Cambodia,12.57,104.99,0,0,0,0,0,1,0,0,0,0,0
Cameroon,7.37,12.35,0,0,0,0,0,0,0,0,0,0,0
Canada,56.13,-106.35,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,16,-24.01,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,19.51,-80.57,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,6.61,20.94,0,0,0,0,0,0,0,0,0,0,0
Chad,15.45,18.73,0,0,0,0,0,0,0,0,0,0,0
Chile,-35.68,-71.54,2,0,0,0,0,10,3,8,0,0,5
China,35.86,104.2,0,0,0,0,0,10,0,0,0,0,0
Christmas Island,-10.45,105.69,0,0,0,0,0,0,0,0,0,0,0
Cocos (Keeling) Islands,-12.16,96.87,0,0,0,0,0,0,0,0,0,0,0
Colombia,4.57,-74.3,10,0,0,4,0,10,10,10,2,10,10
Comoros,-11.88,43.87,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,-21.24,-159.78,0,0,0,0,0,1,0,1,0,0,0
Costa Rica,9.75,-83.75,10,0,0,1,0,10,8,10,1,1,0
Croatia,45.1,15.2,0,0,0,0,0,8,0,0,0,0,0
Cuba,21.52,-77.78,0,0,0,0,0,0,0,0,0,0,0
Curacao,12.17,-68.99,3,0,0,0,0,10,1,10,0,0,0
Cyprus,35.13,33.43,10,0,0,0,0,10,10,10,0,10,0
Czech Republic,49.82,15.47,5,0,0,8,0,10,5,10,2,0,0
Democratic Republic Of The Congo,-4.04,21.76,0,0,0,0,0,0,0,0,0,0,0
Denmark,56.26,9.5,10,0,0,4,0,10,2,10,0,0,1
Djibouti,11.83,42.59,0,0,0,0,0,0,0,0,0,0,0
Dominica,15.41,-61.37,1,0,0,0,0,4,0,1,0,0,0
Dominican Republic,18.74,-70.16,0,0,0,0,0,5,0,1,0,1,0
Ecuador,-1.83,-78.18,0,0,0,0,0,0,0,0,0,0,0
Egypt,26.82,30.8,0,0,0,0,0,0,0,0,0,0,0
El Salvador,13.79,-88.9,3,0,0,1,0,10,1,10,0,0,0
Equatorial Guinea,1.65,10.27,0,0,0,0,0,0,1,0,0,0,0
Eritrea,15.18,39.78,0,0,0,0,0,0,0,0,0,0,0
Estonia,58.6,25.01,0,0,0,0,0,2,0,0,0,0,0
Ethiopia,9.15,40.49,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands,-51.8,-59.52,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,61.89,-6.91,1,0,0,0,0,6,1,3,0,0,0
Fiji,-16.58,179.41,0,0,0,0,0,2,0,0,0,0,0
Finland,61.92,25.75,3,0,0,10,0,10,0,1,0,0,0
France,46.23,2.21,4,0,0,5,0,10,0,1,0,3,0
French Guiana,3.93,-53.13,0,0,0,0,0,0,0,0,0,0,0
