country,Recycling.new,Lead exposure.new,Unsafe drinking water.new,Unsafe sanitation .new,Wastewater treatment.new,PM2.5 exposure.new,Controlled solid waste.new,Household solid fuels.new,Ocean Plastics.new
South Korea,67.1,88.4,84.6,100.0,76.8,47.2,97.9,100.0,24.9
Samoa,57.6,67.8,40.4,62.5,0.9,39.0,36.8,14.5,73.6
Benin,56.9,36.2,13.6,13.3,9.6,29.3,13.0,9.1,36.0
Iceland,55.5,95.1,100.0,100.0,15.3,100.0,91.9,100.0,56.4
Vanuatu,52.9,44.9,21.4,21.7,4.5,34.5,20.6,6.1,52.0
Australia,52.9,76.4,81.2,95.9,92.9,100.0,95.0,98.1,33.1
Singapore,51.7,84.5,88.9,100.0,100.0,56.0,99.3,99.3,36.4
Philippines,49.9,47.4,34.4,45.9,0.8,25.6,20.0,19.7,3.8
Germany,49.8,89.8,98.6,100.0,97.0,65.5,98.5,100.0,29.5
Viet Nam,46.0,47.1,50.9,55.7,0.3,28.4,22.0,24.9,12.3
Ireland,42.4,81.8,100.0,93.5,87.0,88.0,93.9,100.0,41.4
Luxembourg,42.0,95.1,97.8,100.0,98.0,77.5,97.6,100.0,
Thailand,40.0,80.7,42.7,75.8,1.8,33.3,35.4,39.9,3.1
Italy,39.9,80.6,97.8,99.1,58.8,63.4,91.3,89.8,19.9
Marshall Islands,39.7,46.0,30.3,35.3,,29.5,21.5,17.0,72.5
Sweden,39.7,96.9,97.9,99.6,100.0,100.0,99.4,100.0,44.8
Estonia,39.1,86.5,59.2,66.1,70.4,93.2,90.3,59.8,47.2
Poland,38.3,64.5,65.7,80.8,61.5,32.9,87.0,49.4,42.7
Czech Republic,37.3,75.5,65.2,93.5,61.5,42.0,93.7,74.0,
Moldova,36.9,54.0,50.8,48.9,9.2,33.9,8.2,46.6,
Austria,36.0,90.7,100.0,86.7,94.0,69.3,98.1,95.7,
Finland,35.4,100.0,100.0,100.0,100.0,100.0,98.3,100.0,46.5
Denmark,35.4,100.0,95.8,99.9,100.0,74.6,99.4,100.0,39.1
