COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,1990,1990,,,0,Units,,,1.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,1991,1991,,,0,Units,,,1.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,1992,1992,,,0,Units,,,1.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,1993,1993,,,0,Units,,,1.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,1994,1994,,,0,Units,,,1.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,1995,1995,,,0,Units,,,1.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,1996,1996,,,0,Units,,,1.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,1997,1997,,,0,Units,,,1.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,1998,1998,,,0,Units,,,1.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,1999,1999,,,0,Units,,,1.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2000,2000,,,0,Units,,,5.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2001,2001,,,0,Units,,,5.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2002,2002,,,0,Units,,,5.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2003,2003,,,0,Units,,,5.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2004,2004,,,0,Units,,,5.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2005,2005,,,0,Units,,,5.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2006,2006,,,0,Units,,,5.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2007,2007,,,0,Units,,,5.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2008,2008,,,0,Units,,,5.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2009,2009,,,0,Units,,,6.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2010,2010,,,0,Units,,,6.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2011,2011,,,0,Units,,,6.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2012,2012,,,0,Units,,,6.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2013,2013,,,0,Units,,,6.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2014,2014,,,0,Units,,,6.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2015,2015,,,0,Units,,,6.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2016,2016,,,0,Units,,,6.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2017,2017,,,0,Units,,,6.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2018,2018,,,0,Units,,,6.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2019,2019,,,0,Units,,,6.0,,
GRC,Greece,ELV_DIESELSO,Emission limit value sulphur,2020,2020,,,0,Units,,,6.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,1990,1990,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,1991,1991,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,1992,1992,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,1993,1993,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,1994,1994,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,1995,1995,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,1996,1996,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,1997,1997,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,1998,1998,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,1999,1999,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,2000,2000,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,2001,2001,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,2002,2002,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,2003,2003,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,2004,2004,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,2005,2005,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,2006,2006,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,2007,2007,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,2008,2008,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,2009,2009,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,2010,2010,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,2011,2011,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,2012,2012,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,2013,2013,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,2014,2014,,,0,Units,,,1.0,,
PRT,Portugal,RD_SUB,Low-carbon R&D expenditures,2015,2015,,,0,Units,,,1.0,,
