Country,Population,Area(km2),Density(pop/km2)
India,1428627663.0,3287590.0,481.0
China,1425671352.0,9706961.0,151.0
United States,339996563.0,9372610.0,37.0
Indonesia,277534122.0,1904569.0,148.0
Pakistan,240485658.0,881912.0,312.0
Nigeria,223804632.0,923768.0,246.0
Brazil,216422446.0,8515767.0,26.0
Bangladesh,172954319.0,147570.0,1329.0
Russia,144444359.0,17098242.0,9.0
Mexico,128455567.0,1964375.0,66.0
Ethiopia,126527060.0,1104300.0,112.0
Japan,123294513.0,377930.0,338.0
Philippines,117337368.0,342353.0,394.0
Egypt,112716598.0,1002450.0,113.0
DR Congo,102262808.0,2344858.0,45.0
Vietnam,98858950.0,331212.0,315.0
Iran,89172767.0,1648195.0,55.0
Turkey,85816199.0,783562.0,110.0
Germany,83294633.0,357114.0,238.0
Thailand,71801279.0,513120.0,141.0
United Kingdom,67736802.0,242900.0,280.0
Tanzania,67438106.0,945087.0,76.0
France,64756584.0,551695.0,118.0
South Africa,60414495.0,1221037.0,50.0
Italy,58870762.0,301336.0,199.0
Kenya,55100586.0,580367.0,97.0
Myanmar,54577997.0,676578.0,84.0
Colombia,52085168.0,1141748.0,47.0
South Korea,51784059.0,100210.0,531.0
Uganda,48582334.0,241550.0,242.0
Sudan,48109006.0,1886068.0,26.0
Spain,47519628.0,505992.0,95.0
Argentina,45773884.0,2780400.0,17.0
Algeria,45606480.0,2381741.0,19.0
Iraq,45504560.0,438317.0,105.0
Afghanistan,42239854.0,652230.0,65.0
Poland,41026067.0,312679.0,134.0
Canada,38781291.0,9984670.0,4.0
Morocco,37840044.0,446550.0,85.0
Saudi Arabia,36947025.0,2149690.0,17.0
Ukraine,36744634.0,603500.0,63.0
Angola,36684202.0,1246700.0,29.0
Uzbekistan,35163944.0,447400.0,80.0
Yemen,34449825.0,527968.0,65.0
Peru,34352719.0,1285216.0,27.0
Malaysia,34308525.0,330803.0,104.0
Ghana,34121985.0,238533.0,150.0
Mozambique,33897354.0,801590.0,43.0
Nepal,30896590.0,147181.0,216.0
Madagascar,30325732.0,587041.0,52.0
Ivory Coast,28873034.0,322463.0,91.0
Venezuela,28838499.0,916445.0,33.0
Cameroon,28647293.0,475442.0,61.0
Niger,27202843.0,1267000.0,21.0
Australia,26439111.0,7692024.0,3.0
North Korea,26160821.0,120538.0,217.0
Taiwan,23923276.0,36193.0,661.0
Mali,23293698.0,1240192.0,19.0
Burkina Faso,23251485.0,272967.0,85.0
Syria,23227014.0,185180.0,126.0
Sri Lanka,21893579.0,65610.0,354.0
Malawi,20931751.0,118484.0,222.0
Zambia,20569737.0,752612.0,28.0
Romania,19892812.0,238391.0,86.0
