"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2017","2017",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2018","2018",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2019","2019",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2020","2020",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2021","2021",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2022","2022",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2023","2023",,"a","Category not applicable"
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2017","2017",1.31644,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2018","2018",1.25846,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2019","2019",1.24806,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2020","2020",1.42092,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2021","2021",1.36632,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2022","2022",1.29421,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2017","2017",2.19243,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2018","2018",1.9406,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2019","2019",1.83725,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2020","2020",2.23318,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2021","2021",1.74628,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2022","2022",2.57512,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2017","2017",1.72299,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2018","2018",1.70291,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2019","2019",1.56465,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2020","2020",1.54187,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2017","2017",0.32276,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2018","2018",0.28973,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2019","2019",0.28186,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2020","2020",0.27794,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2021","2021",0.25913,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2022","2022",0.227,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2017","2017",0.80405,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2018","2018",0.8608,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2019","2019",1.03335,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2020","2020",1.15818,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2021","2021",1.28136,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2022","2022",1.30651,,
"XGDP_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%)","MYS","Malaysia","2017","2017",0.02677,,
"XGDP_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%)","MYS","Malaysia","2020","2020",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","NAM","Namibia","2017","2017",0.0378,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CRI","Costa Rica","2017","2017",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CRI","Costa Rica","2018","2018",,"a","Category not applicable"
