name,slug,value,date_of_information,ranking,region
"Monaco","monaco","55.4","2020",1,"Europe"
"Japan","japan","48.6","2020",2,"East and Southeast Asia"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","48.5","2020",3,"North America"
"Germany","germany","47.8","2020",4,"Europe"
"Italy","italy","46.5","2020",5,"Europe"
"Andorra","andorra","46.2","2020",6,"Europe"
"Hong Kong","hong-kong","45.6","2020",7,"East and Southeast Asia"
"Saint Barthelemy","saint-barthelemy","45.6","2020",8,"Central America and the Caribbean"
"Greece","greece","45.3","2020",9,"Europe"
"San Marino","san-marino","45.2","2020",10,"Europe"
"Slovenia","slovenia","44.9","2020",11,"Europe"
"Isle of Man","isle-of-man","44.6","2020",12,"Europe"
"Portugal","portugal","44.6","2020",13,"Europe"
"Austria","austria","44.5","2020",14,"Europe"
"Lithuania","lithuania","44.5","2020",15,"Europe"
"Latvia","latvia","44.4","2020",16,"Europe"
"Guernsey","guernsey","44.3","2020",17,"Europe"
"Spain","spain","43.9","2020",18,"Europe"
"Croatia","croatia","43.9","2020",19,"Europe"
"Estonia","estonia","43.7","2020",20,"Europe"
"Bulgaria","bulgaria","43.7","2020",21,"Europe"
"Liechtenstein","liechtenstein","43.7","2020",22,"Europe"
"Hungary","hungary","43.6","2020",23,"Europe"
"Puerto Rico","puerto-rico","43.6","2020",24,"Central America and the Caribbean"
"Bermuda","bermuda","43.6","2020",25,"North America"
"Serbia","serbia","43.4","2020",26,"Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","43.3","2020",27,"Europe"
"Czechia","czechia","43.3","2020",28,"Europe"
"Korea, South","korea-south","43.2","2020",29,"East and Southeast Asia"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","43.2","2020",30,"Africa"
"Finland","finland","42.8","2020",31,"Europe"
"Netherlands","netherlands","42.8","2020",32,"Europe"
"Switzerland","switzerland","42.7","2020",33,"Europe"
"Romania","romania","42.5","2020",34,"Europe"
"Malta","malta","42.3","2020",35,"Europe"
"Taiwan","taiwan","42.3","2020",36,"East and Southeast Asia"
"Cuba","cuba","42.1","2020",37,"Central America and the Caribbean"
"Denmark","denmark","42","2020",38,"Europe"
"Poland","poland","41.9","2020",39,"Europe"
"Virgin Islands","virgin-islands","41.8","2020",40,"Central America and the Caribbean"
"Canada","canada","41.8","2020",41,"North America"
"Slovakia","slovakia","41.8","2020",42,"Europe"
"France","france","41.7","2020",43,"Europe"
"Belgium","belgium","41.6","2020",44,"Europe"
"Ukraine","ukraine","41.2","2020",45,"Europe"
"Sweden","sweden","41.1","2020",46,"Europe"
"Sint Maarten","sint-maarten","41.1","2020",47,"Central America and the Caribbean"
"Belarus","belarus","40.9","2020",48,"Europe"
"Macau","macau","40.8","2020",49,"East and Southeast Asia"
"United Kingdom","united-kingdom","40.6","2020",50,"Europe"
"Cayman Islands","cayman-islands","40.5","2020",51,"Central America and the Caribbean"
"Russia","russia","40.3","2020",52,"Central Asia"
"Aruba","aruba","39.9","2020",53,"Central America and the Caribbean"
"Montenegro","montenegro","39.6","2020",54,"Europe"
"Barbados","barbados","39.5","2020",55,"Central America and the Caribbean"
"Norway","norway","39.5","2020",56,"Europe"
"Luxembourg","luxembourg","39.5","2020",57,"Europe"
"Thailand","thailand","39","2020",58,"East and Southeast Asia"
"North Macedonia","north-macedonia","39","2020",59,"Europe"
"Georgia","georgia","38.6","2020",60,"Middle East"
"United States","united-states","38.5","2020",61,"North America"
"China","china","38.4","2020",62,"East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","38.4","2020",63,"Middle East"
"Cook Islands","cook-islands","38.3","2020",64,"Australia and Oceania"
"Cyprus","cyprus","37.9","2020",65,"Europe"
"Ireland","ireland","37.8","2020",66,"Europe"
"Trinidad and Tobago","trinidad-and-tobago","37.8","2020",67,"Central America and the Caribbean"
"Moldova","moldova","37.7","2020",68,"Europe"
"Jersey","jersey","37.5","2020",69,"Europe"
"Australia","australia","37.5","2020",70,"Australia and Oceania"
"Faroe Islands","faroe-islands","37.2","2020",71,"Europe"
